year_month,brand,model,engine_volume,power_hp,price_rub,sales_qty,util_fee_rub,key_rate,usd_rub,inflation_pct
2022-01,Lada,Vesta,1.6,106,1551000,453,34000,9.5,85.5,1.16
2022-01,Lada,Granta,1.6,90,1551000,348,34000,9.5,85.5,1.16
2022-01,Hyundai,Creta,1.6,123,1551000,391,34000,9.5,85.5,1.16
2022-01,Kia,Rio,1.6,100,1551000,382,34000,9.5,85.5,1.16
2022-01,Toyota,RAV4,2.0,146,1551000,470,34000,9.5,85.5,1.16
2022-01,Chery,Tiggo7,1.5,147,1551000,460,34000,9.5,85.5,1.16
2022-01,Geely,Coolray,1.5,147,1551000,497,34000,9.5,85.5,1.16
2022-01,BMW,X5,3.0,249,1551000,358,34000,9.5,85.5,1.16
2022-01,Mercedes,E-Class,2.0,194,1551000,416,34000,9.5,85.5,1.16
2022-01,Volkswagen,Polo,1.6,110,1551000,349,34000,9.5,85.5,1.16
2022-02,Lada,Vesta,1.6,106,1551000,381,34000,9.5,88.0,1.16
2022-02,Lada,Granta,1.6,90,1551000,430,34000,9.5,88.0,1.16
2022-02,Hyundai,Creta,1.6,123,1551000,348,34000,9.5,88.0,1.16
2022-02,Kia,Rio,1.6,100,1551000,378,34000,9.5,88.0,1.16
2022-02,Toyota,RAV4,2.0,146,1551000,455,34000,9.5,88.0,1.16
2022-02,Chery,Tiggo7,1.5,147,1551000,437,34000,9.5,88.0,1.16
2022-02,Geely,Coolray,1.5,147,1551000,381,34000,9.5,88.0,1.16
2022-02,BMW,X5,3.0,249,1551000,445,34000,9.5,88.0,1.16
2022-02,Mercedes,E-Class,2.0,194,1551000,483,34000,9.5,88.0,1.16
2022-02,Volkswagen,Polo,1.6,110,1551000,345,34000,9.5,88.0,1.16
2022-03,Lada,Vesta,1.6,106,1551000,465,34000,10.5,98.0,1.16
2022-03,Lada,Granta,1.6,90,1551000,447,34000,10.5,98.0,1.16
2022-03,Hyundai,Creta,1.6,123,1551000,388,34000,10.5,98.0,1.16
2022-03,Kia,Rio,1.6,100,1551000,357,34000,10.5,98.0,1.16
2022-03,Toyota,RAV4,2.0,146,1551000,490,34000,10.5,98.0,1.16
2022-03,Chery,Tiggo7,1.5,147,1551000,387,34000,10.5,98.0,1.16
2022-03,Geely,Coolray,1.5,147,1551000,347,34000,10.5,98.0,1.16
2022-03,BMW,X5,3.0,249,1551000,348,34000,10.5,98.0,1.16
2022-03,Mercedes,E-Class,2.0,194,1551000,472,34000,10.5,98.0,1.16
2022-03,Volkswagen,Polo,1.6,110,1551000,432,34000,10.5,98.0,1.16
2022-04,Lada,Vesta,1.6,106,1551000,406,34000,14.0,103.0,1.16
2022-04,Lada,Granta,1.6,90,1551000,395,34000,14.0,103.0,1.16
2022-04,Hyundai,Creta,1.6,123,1551000,367,34000,14.0,103.0,1.16
